frame,time,userId,cellBoundaryRisk,physicalBoundaryRisk,userRisk,seedMotionPenalty,cellShapePenaltyReserved,smoothRisk,weightedTotalRisk,dominantRisk,minCellClearance,minPhysicalClearance,minPairSeparation,minOccupancySeparation,seedDelta,frameMeanCellRisk,frameMeanPhysicalRisk,frameMeanUserRisk,frameMeanSmoothRisk,frameWeightedTotalRisk
10,0.111000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,2.902315,7.043530,5.804630,5.804630,0.000000,0.000000,0.000000,0.000000,0.004527,0.000905
10,0.111000,1,0.000000,0.000000,0.000000,0.013182,0.000000,0.013182,0.002636,None,1.052172,1.052172,8.245731,8.245731,0.003295,0.000000,0.000000,0.000000,0.004527,0.000905
10,0.111000,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,2.902315,3.394630,5.804630,5.804630,0.000000,0.000000,0.000000,0.000000,0.004527,0.000905
10,0.111000,3,0.000000,0.000000,0.000000,0.004926,0.000000,0.004926,0.000985,None,2.959173,2.959173,8.251822,8.251822,0.001232,0.000000,0.000000,0.000000,0.004527,0.000905
20,0.222000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,2.902315,7.043530,5.804630,5.804630,0.000000,0.000000,0.000000,0.000000,0.016728,0.003346
20,0.222000,1,0.000000,0.000000,0.000000,0.034723,0.000000,0.034723,0.006945,None,0.564913,0.564913,9.023621,9.023621,0.008681,0.000000,0.000000,0.000000,0.016728,0.003346
20,0.222000,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,2.902315,3.394630,5.804630,5.804630,0.000000,0.000000,0.000000,0.000000,0.016728,0.003346
20,0.222000,3,0.000000,0.000000,0.000000,0.032190,0.000000,0.032190,0.006438,None,3.223270,3.519701,7.343078,7.343078,0.008048,0.000000,0.000000,0.000000,0.016728,0.003346
30,0.333000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,2.910041,7.043530,6.183626,6.183626,0.000000,0.016643,0.086650,0.000000,0.025427,0.011743
30,0.333000,1,0.066574,0.346602,0.000000,0.041360,0.000000,0.041360,0.034901,None,0.326699,0.326699,9.206681,9.206681,0.010340,0.016643,0.086650,0.000000,0.025427,0.011743
30,0.333000,2,0.000000,0.000000,0.000000,0.019754,0.000000,0.019754,0.003951,None,3.004028,3.004028,6.183626,6.183626,0.004938,0.016643,0.086650,0.000000,0.025427,0.011743
30,0.333000,3,0.000000,0.000000,0.000000,0.040593,0.000000,0.040593,0.008119,None,2.703111,3.720704,6.776707,6.776707,0.010148,0.016643,0.086650,0.000000,0.025427,0.011743
40,0.444000,0,0.000000,0.000000,0.000000,0.030694,0.000000,0.030694,0.006139,None,3.505524,7.272444,6.565418,6.565418,0.007674,0.079189,0.130433,0.000000,0.038521,0.039380
40,0.444000,1,0.316758,0.521730,0.000000,0.043401,0.000000,0.043401,0.135383,Wall,0.239135,0.239135,9.189392,9.189392,0.010850,0.079189,0.130433,0.000000,0.038521,0.039380
40,0.444000,2,0.000000,0.000000,0.000000,0.036810,0.000000,0.036810,0.007362,None,2.153919,2.153919,7.078861,7.078861,0.009202,0.079189,0.130433,0.000000,0.038521,0.039380
40,0.444000,3,0.000000,0.000000,0.000000,0.043181,0.000000,0.043181,0.008636,None,2.499334,3.861207,6.565418,6.565418,0.010795,0.079189,0.130433,0.000000,0.038521,0.039380
50,0.555000,0,0.000000,0.000000,0.000000,0.040150,0.000000,0.040150,0.008030,None,3.399657,7.403941,6.555009,6.555009,0.010037,0.104698,0.148289,0.000000,0.042558,0.050391
50,0.555000,1,0.418793,0.593155,0.000000,0.044037,0.000000,0.044037,0.176324,Wall,0.203423,0.203423,9.145175,9.145175,0.011009,0.104698,0.148289,0.000000,0.042558,0.050391
50,0.555000,2,0.000000,0.000000,0.000000,0.042063,0.000000,0.042063,0.008413,None,1.739462,1.739462,7.460407,7.460407,0.010516,0.104698,0.148289,0.000000,0.042558,0.050391
