frame,time,userId,cellBoundaryRisk,physicalBoundaryRisk,userRisk,seedMotionPenalty,cellShapePenaltyReserved,smoothRisk,weightedTotalRisk,dominantRisk,minCellClearance,minPhysicalClearance,minPairSeparation,minOccupancySeparation,seedDelta,frameMeanCellRisk,frameMeanPhysicalRisk,frameMeanUserRisk,frameMeanSmoothRisk,frameWeightedTotalRisk
10,0.111000,0,0.000000,0.000000,0.000000,0.013221,0.000000,0.013221,0.002644,None,4.229721,5.853724,8.334038,8.334038,0.003305,0.000000,0.000000,0.000000,0.005631,0.001126
10,0.111000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,1.308322,5.863400,2.585370,2.585370,0.000000,0.000000,0.000000,0.000000,0.005631,0.001126
10,0.111000,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,0.621150,0.621150,8.336653,8.336653,0.000000,0.000000,0.000000,0.000000,0.005631,0.001126
10,0.111000,3,0.000000,0.000000,0.000000,0.009303,0.000000,0.009303,0.001861,None,1.275520,3.606589,2.585370,2.585370,0.002326,0.000000,0.000000,0.000000,0.005631,0.001126
20,0.222000,0,0.000000,0.000000,0.000000,0.034805,0.000000,0.034805,0.006961,None,4.625226,5.803714,8.564763,8.564763,0.008701,0.000000,0.000000,0.000000,0.019419,0.003884
20,0.222000,1,0.000000,0.000000,0.000000,0.009309,0.000000,0.009309,0.001862,None,1.254211,5.827465,2.450601,2.450601,0.002327,0.000000,0.000000,0.000000,0.019419,0.003884
20,0.222000,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,0.621150,0.621150,9.070931,9.070931,0.000000,0.000000,0.000000,0.000000,0.019419,0.003884
20,0.222000,3,0.000000,0.000000,0.000000,0.033561,0.000000,0.033561,0.006712,None,1.037905,4.104562,2.450601,2.450601,0.008390,0.000000,0.000000,0.000000,0.019419,0.003884
30,0.333000,0,0.000000,0.000000,0.000000,0.041464,0.000000,0.041464,0.008293,None,4.753250,5.739097,8.285583,8.285583,0.010366,0.000000,0.000000,0.000000,0.029025,0.005805
30,0.333000,1,0.000000,0.000000,0.000000,0.033593,0.000000,0.033593,0.006719,None,0.937428,5.021096,2.702835,2.702835,0.008398,0.000000,0.000000,0.000000,0.029025,0.005805
30,0.333000,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,0.621150,0.621150,9.233472,9.233472,0.000000,0.000000,0.000000,0.000000,0.029025,0.005805
30,0.333000,3,0.000000,0.000000,0.000000,0.041043,0.000000,0.041043,0.008209,None,0.981251,4.274158,2.702835,2.702835,0.010261,0.000000,0.000000,0.000000,0.029025,0.005805
40,0.444000,0,0.000000,0.000000,0.000000,0.043515,0.000000,0.043515,0.008703,None,4.814627,5.513643,8.183311,8.183311,0.010879,0.000000,0.000000,0.000000,0.031984,0.006397
40,0.444000,1,0.000000,0.000000,0.000000,0.041071,0.000000,0.041071,0.008214,None,0.867614,4.535707,2.953317,2.953317,0.010268,0.000000,0.000000,0.000000,0.031984,0.006397
40,0.444000,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,0.621150,0.621150,9.336490,9.336490,0.000000,0.000000,0.000000,0.000000,0.031984,0.006397
40,0.444000,3,0.000000,0.000000,0.000000,0.043349,0.000000,0.043349,0.008670,None,1.046860,4.390596,2.953317,2.953317,0.010837,0.000000,0.000000,0.000000,0.031984,0.006397
50,0.555000,0,0.000000,0.000000,0.000000,0.044149,0.000000,0.044149,0.008830,None,4.860054,5.374687,8.140765,8.140765,0.011037,0.000000,0.000000,0.000000,0.032897,0.006579
50,0.555000,1,0.000000,0.000000,0.000000,0.043373,0.000000,0.043373,0.008675,None,0.941371,4.323018,3.046043,3.046043,0.010843,0.000000,0.000000,0.000000,0.032897,0.006579
50,0.555000,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,0.621150,0.621150,9.424513,9.424513,0.000000,0.000000,0.000000,0.000000,0.032897,0.006579
50,0.555000,3,0.000000,0.000000,0.000000,0.044064,0.000000,0.044064,0.008813,None,1.159020,4.487945,3.046043,3.046043,0.011016,0.000000,0.000000,0.000000,0.032897,0.006579
60,0.666000,0,0.000000,0.000000,0.000000,0.044338,0.000000,0.044338,0.008868,None,4.900833,5.260316,8.116693,8.116693,0.011084,0.000000,0.000000,0.000000,0.033175,0.006635
60,0.666000,1,0.000000,0.000000,0.000000,0.044082,0.000000,0.044082,0.008816,None,1.064885,4.203740,3.135005,3.135005,0.011020,0.000000,0.000000,0.000000,0.033175,0.006635
60,0.666000,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,0.621150,0.621150,9.507713,9.507713,0.000000,0.000000,0.000000,0.000000,0.033175,0.006635
60,0.666000,3,0.000000,0.000000,0.000000,0.044279,0.000000,0.044279,0.008856,None,1.291298,4.578666,3.135005,3.135005,0.011070,0.000000,0.000000,0.000000,0.033175,0.006635
70,0.777000,0,0.000000,0.000000,0.000000,0.044399,0.000000,0.044399,0.008880,None,4.917353,5.152688,8.099341,8.099341,0.011100,0.000000,0.000000,0.000000,0.033262,0.006652
70,0.777000,1,0.000000,0.000000,0.000000,0.044298,0.000000,0.044298,0.008860,None,1.208010,4.111877,3.232187,3.232187,0.011075,0.000000,0.000000,0.000000,0.033262,0.006652
70,0.777000,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,0.621150,0.621150,9.589046,9.589046,0.000000,0.000000,0.000000,0.000000,0.033262,0.006652
70,0.777000,3,0.000000,0.000000,0.000000,0.044349,0.000000,0.044349,0.008870,None,1.435234,4.666386,3.232187,3.232187,0.011087,0.000000,0.000000,0.000000,0.033262,0.006652
80,0.888000,0,0.000000,0.000000,0.000000,0.044420,0.000000,0.044420,0.008884,None,4.900647,5.047507,8.085726,8.085726,0.011105,0.000000,0.000000,0.000000,0.033289,0.006658
80,0.888000,1,0.000000,0.000000,0.000000,0.044364,0.000000,0.044364,0.008873,None,1.361512,4.028621,3.321877,3.321877,0.011091,0.000000,0.000000,0.000000,0.033289,0.006658
80,0.888000,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,0.621150,0.621150,9.669200,9.669200,0.000000,0.000000,0.000000,0.000000,0.033289,0.006658
80,0.888000,3,0.000000,0.000000,0.000000,0.044371,0.000000,0.044371,0.008874,None,1.586737,4.751986,3.321877,3.321877,0.011093,0.000000,0.000000,0.000000,0.033289,0.006658
90,0.999000,0,0.000000,0.000000,0.000000,0.044427,0.000000,0.044427,0.008885,None,4.885120,4.943591,8.075018,8.075018,0.011107,0.000000,0.000000,0.000000,0.033297,0.006659
90,0.999000,1,0.000000,0.000000,0.000000,0.044385,0.000000,0.044385,0.008877,None,1.521593,3.949001,3.427427,3.427427,0.011096,0.000000,0.000000,0.000000,0.033297,0.006659
90,0.999000,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,0.621150,0.621150,9.748403,9.748403,0.000000,0.000000,0.000000,0.000000,0.033297,0.006659
90,0.999000,3,0.000000,0.000000,0.000000,0.044375,0.000000,0.044375,0.008875,None,1.702852,4.835668,3.427427,3.427427,0.011094,0.000000,0.000000,0.000000,0.033297,0.006659
100,1.110000,0,0.000000,0.000000,0.000000,0.044426,0.000000,0.044426,0.008885,None,4.840886,4.840886,8.067244,8.067244,0.011107,0.000000,0.000000,0.000000,0.033298,0.006660
100,1.110000,1,0.000000,0.000000,0.000000,0.044393,0.000000,0.044393,0.008879,None,1.685364,3.871978,3.547502,3.547502,0.011098,0.000000,0.000000,0.000000,0.033298,0.006660
100,1.110000,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,None,0.621150,0.621150,9.826620,9.826620,0.000000,0.000000,0.000000,0.000000,0.033298,0.006660
100,1.110000,3,0.000000,0.000000,0.000000,0.044374,0.000000,0.044374,0.008875,None,1.765191,4.917383,3.547502,3.547502,0.011094,0.000000,0.000000,0.000000,0.033298,0.006660
110,1.221001,0,0.000000,0.000000,0.000000,0.044425,0.000000,0.044425,0.008885,None,4.739131,4.739131,8.062243,8.062243,0.011106,0.000000,0.000000,0.000000,0.039526,0.007905
110,1.221001,1,0.000000,0.000000,0.000000,0.044392,0.000000,0.044392,0.008878,None,1.783067,3.797450,3.680836,3.680836,0.011098,0.000000,0.000000,0.000000,0.039526,0.007905
110,1.221001,2,0.000000,0.000000,0.000000,0.024911,0.000000,0.024911,0.004982,None,0.520474,0.520474,10.074300,10.074300,0.006228,0.000000,0.000000,0.000000,0.039526,0.007905
110,1.221001,3,0.000000,0.000000,0.000000,0.044375,0.000000,0.044375,0.008875,None,1.834290,4.997137,3.680836,3.680836,0.011094,0.000000,0.000000,0.000000,0.039526,0.007905
120,1.332001,0,0.000000,0.000000,0.000000,0.044424,0.000000,0.044424,0.008885,None,4.638617,4.638617,8.060097,8.060097,0.011106,0.000000,0.039235,0.000000,0.042895,0.008579
120,1.332001,1,0.000000,0.000000,0.000000,0.044391,0.000000,0.044391,0.008878,None,1.859976,3.725432,3.826021,3.826021,0.011098,0.000000,0.039235,0.000000,0.042895,0.008579
120,1.332001,2,0.000000,0.156939,0.000000,0.038386,0.000000,0.038386,0.007677,None,0.421531,0.421531,10.376560,10.376560,0.009596,0.000000,0.039235,0.000000,0.042895,0.008579
120,1.332001,3,0.000000,0.000000,0.000000,0.044377,0.000000,0.044377,0.008875,None,1.909266,5.074902,3.826021,3.826021,0.011094,0.000000,0.039235,0.000000,0.042895,0.008579
130,1.443002,0,0.000000,0.000000,0.000000,0.044430,0.000000,0.044430,0.008886,None,4.539165,4.539165,8.060790,8.060790,0.011107,0.000000,0.045042,0.000000,0.043935,0.008787
130,1.443002,1,0.000000,0.000000,0.000000,0.044394,0.000000,0.044394,0.008879,None,1.942171,3.655645,3.981730,3.981730,0.011098,0.000000,0.045042,0.000000,0.043935,0.008787
130,1.443002,2,0.000000,0.180168,0.000000,0.042535,0.000000,0.042535,0.008507,None,0.409916,0.409916,10.599670,10.599670,0.010634,0.000000,0.045042,0.000000,0.043935,0.008787
130,1.443002,3,0.000000,0.000000,0.000000,0.044381,0.000000,0.044381,0.008876,None,1.989400,5.150649,3.981730,3.981730,0.011095,0.000000,0.045042,0.000000,0.043935,0.008787
