Date,Timestamp,totalResetCountPerEpisode,userResetCountVariancePerEpisode,boundaryCollisionCountPerEpisode,proactiveUserResetActionCountPerEpisode,userInterResetSingleActionCountPerEpisode,userInterResetBothActionCountPerEpisode,user00ResetCountPerEpisode,user01ResetCountPerEpisode,user02ResetCountPerEpisode,user03ResetCountPerEpisode
20260507163737.685,285.1479,104,2.0000,83,5,7,6,24,28,26,26
20260507163755.824,586.3020,114,7.2500,88,8,9,6,28,33,26,27
